Symbol,LinkSymbol
BTC,bitcoin
ETH,ethereum
USDT,tether
XRP,xrp
BNB,bnb
SOL,solana
USDC,usd-coin
DOGE,dogecoin
TRX,tron
ADA,cardano
HYPE,hyperliquid
LINK,chainlink
eUSDe,ethena-usde
BCH,bitcoin-cash
SUI,sui
XLM,stellar
AVAX,avalanche
HBAR,hedera
CRO,cronos
LEOu,unus-sed-leo
LTC,litecoin
TON,toncoin
SHIB,shiba-inu
pDOTn,polkadot-new
UNIs,uniswap
DAI,multi-collateral-dai
ENA,ethena
XMR,monero
AAVE,aave
OKB,okb
PEPE,pepe
MNTe,mantle
BGB,bitget-token-new
ETC,ethereum-classic
TAO,bittensor
NEAR,near-protocol
POL,polygon-ecosystem-token
APT,aptos
ONDO,ondo-finance
PI,pi
USD1,usd1
ARBm,arbitrum
ICP,internet-computer
IP,story-protocol
GT,gatetoken
KAS,kaspa
ATOM,cosmos
VET,vechain
ALGO,algorand
KCS,kucoin-token
WLD,worldcoin-org
PENGU,pudgy-penguins
SKYn,sky
SEI,sei
PUMPf,pump-fun
M,memecore
TRUMPo,official-trump
BONK,bonk1
FIL,filecoin
JUPa,jupiter-ag
FLR,flare
FDUSD,first-digital-usd
FET,artificial-superintelligence-alliance
XDC,xdc-network
INJ,injective
OPm,optimism-ethereum
QNT,quant
TIA,celestia
PYUSD,paypal-usd
STXk,stacks
CRV,curve-dao-token
AERO,aerodrome-finance
SPX,spx6900
PAXG,pax-gold
LDO,lido-dao
IMXm,immutable-x
GRT,the-graph
PYTH,pyth-network
KAIA,kaia
XAUT,tether-gold
CFX,conflux-network
RAY,raydium
S,sonic
FLOKI,floki-inu
CAKE,pancakeswap
NEXO,nexo
ENS,ethereum-name-service
WIF,dogwifhat
PENDLE,pendle
THETA,theta-network
XTZ,tezos
Ah,vaulta
IOTA,iota
FARTCOIN,fartcoin
RLUSD,ripple-usd
GALA,gala
SAND,the-sandbox
VIRTUAL,virtual-protocol
ZEC,zcash
JASMY,jasmy
JTO,jito
AB,newton
MORPHO,morpho
FLOW,flow
BTT,bittorrent-new
MANA,decentraland
WAL,walrus-xyz
B,buildon
SYRUP,maple-finance
DEXE,dexe
ETHFI,ether-fi-ethfi
BCHSV,bitcoin-sv
STRKn,starknet-token
TUSD,trueusd
USDD,usdd
DYDXn,dydx-chain
NEO,neo
DEEP,deepbook-protocol
NFT,apenft
BRETT,based-brett
RSR,reserve-rights
ZRO,layerzero
APE,apecoin-ape
HNT,helium
AR,arweave
ZK,zksync
EIGEN,eigenlayer
COREd,core-dao
RUNE,thorchain
SUN,sun-token
COMP,compound
KAVA,kava
AXS,axie-infinity
EGLD,multiversx-egld
XEC,ecash
CHZ,chiliz
W,wormhole
SUPERf,superverse
XCNt,onyxcoin
AIOZ,aioz-network
GNO,gnosis-gno
BEAMo,onbeam
ZBCN,zebec-network
ATH,aethir
CVX,convex-finance
1INCH,1inch
JST,just
WEMIX,wemix
LUNC,terra-luna
RONIN,ronin
MOG,mog-coin
MOVEm,movement
LPT,livepeer
AXL,axelar
TWT,trust-wallet-token
DASH,dash
BERA,berachain
QTUM,qtum
BIO,bio
CTC,creditcoin
