CoinA,CoinB,profit,std,total_trades
1000XECUSDT,AEVOUSDT,-0.09244992141967799,0.020340559501523057,58
1000XECUSDT,AXSUSDT,-0.22729151023275804,0.01906608816752148,72
1000XECUSDT,C98USDT,-0.045297792518168054,0.020612832307355965,46
1000XECUSDT,CELOUSDT,-0.08361441736620766,0.017987651870591002,64
1000XECUSDT,ENJUSDT,-0.019980548467856865,0.019629891194108504,72
1000XECUSDT,ENSUSDT,-0.14535351448655276,0.023292237821926902,78
1000XECUSDT,FILUSDT,-0.09664780540984383,0.01901368712790629,56
1000XECUSDT,GRTUSDT,-0.012158515850828172,0.01853122644664781,58
1000XECUSDT,IOTAUSDT,-0.046396824525373095,0.017472316662379993,72
1000XECUSDT,MANTAUSDT,0.039248144328491184,0.017534124547774574,60
1000XECUSDT,SANDUSDT,-0.2551774509462539,0.019621695618062828,54
1000XECUSDT,SHIBUSDT,-0.030210582009791973,0.01857786330182303,72
1000XECUSDT,TNSRUSDT,0.009224806519447123,0.02315858103649165,92
1000XECUSDT,WAXPUSDT,-0.015438117998351158,0.013177356966942848,78
1000XECUSDT,ZILUSDT,0.061697701082480225,0.01876229868114636,82
1000XECUSDT,SXPUSDT,-0.2748888633872445,0.01786252176812626,62
1000XECUSDT,ZRXUSDT,-0.07640756912889618,0.019143919383134363,46
MBOXUSDT,BEAMUSDT,0.0,0.0,0
MBOXUSDT,ENSUSDT,-0.01798968463902235,0.021776581360561053,6
MBOXUSDT,IMXUSDT,0.0,0.0,0
MBOXUSDT,MINAUSDT,0.0,0.0,0
MBOXUSDT,SHIBUSDT,0.0,0.0,0
MBOXUSDT,TIAUSDT,0.022175365850435398,0.03675016373202701,6
MBOXUSDT,XAIUSDT,-0.008664992827252853,0.0026146300231550813,2
MBOXUSDT,TAIKOUSDT,0.0,0.0,0
MBOXUSDT,GUSDT,0.0,0.0,0
MBOXUSDT,ZRXUSDT,0.007990778286461593,0.01769538914323096,2
ACEUSDT,DOTUSDT,-0.06494921787486116,0.018420859364106396,100
ACEUSDT,ENSUSDT,-0.10984221795332627,0.025890493390315468,70
ACEUSDT,JASMYUSDT,-0.18356541127988918,0.023440962839277272,66
ACEUSDT,MANTAUSDT,-0.0952671393975168,0.023916187646890887,84
ACEUSDT,PEPEUSDT,-0.01479517684307339,0.025073307178909213,64
ACEUSDT,XAIUSDT,-0.01494483245268528,0.027379181052933563,72
ACHUSDT,AEVOUSDT,-0.09104483091499288,0.02074855588990351,62
ACHUSDT,ANKRUSDT,0.02293295151105955,0.018063082002195013,82
ACHUSDT,C98USDT,-0.046409387219769185,0.0248347992828903,24
ACHUSDT,CELOUSDT,-0.10667861318266689,0.019145716889524194,54
ACHUSDT,ENSUSDT,-0.23883865789683703,0.023847437334698393,78
ACHUSDT,FILUSDT,-0.06686630511539753,0.020137578336984104,54
ACHUSDT,IOTAUSDT,-0.17250094049278566,0.019854601084280242,68
ACHUSDT,MANTAUSDT,-0.03906302197521576,0.017629680197512165,56
ACHUSDT,SANDUSDT,-0.20700366653375452,0.02075498943968918,60
ACHUSDT,SYSUSDT,-0.009086142097980806,0.007022923854878144,2
ACHUSDT,TNSRUSDT,0.0577039849909891,0.023904465269304075,82
ACHUSDT,WAXPUSDT,-0.11326516527832728,0.01596254045929313,64
ACHUSDT,ZILUSDT,-0.005388383463165227,0.015156121553028661,76
ACHUSDT,SXPUSDT,-0.2443921008216118,0.0194652987682522,70
ACHUSDT,AGLDUSDT,0.0,0.0,0
ACHUSDT,ZRXUSDT,-0.08023829043293862,0.02101177604623425,44
AEVOUSDT,1000XECUSDT,0.019810741829368546,0.020215765955619525,22
AEVOUSDT,ACHUSDT,-0.06759933165403345,0.021620280293201427,56
AEVOUSDT,ANKRUSDT,-0.04115100201831243,0.02056249670874582,54
AEVOUSDT,AXSUSDT,-0.01979415600068611,0.03259329466388549,8
AEVOUSDT,C98USDT,-0.04697359058985368,0.018133388749473265,62
AEVOUSDT,CELOUSDT,-0.0576251425678536,0.015167830314066535,70
AEVOUSDT,ENSUSDT,-0.14747138929678072,0.025431064418602906,78
AEVOUSDT,FILUSDT,-0.010703520549747393,0.023043478704453325,52
AEVOUSDT,GRTUSDT,-0.0171395564266699,0.01902146098344081,60
AEVOUSDT,IOTAUSDT,0.08478366301050558,0.01751589931600411,50
AEVOUSDT,MANTAUSDT,-0.0550606355494748,0.020431035859422905,92
AEVOUSDT,PEPEUSDT,0.026518080951197617,0.023047595919635858,54
AEVOUSDT,SANDUSDT,0.07967765901532849,0.016701735570731367,60
AEVOUSDT,SHIBUSDT,-0.011278688673964086,0.01848225785872062,44
AEVOUSDT,TNSRUSDT,0.004730566011510402,0.015598521676024976,30
AEVOUSDT,WAXPUSDT,0.0003159433411159913,0.018575307406079707,52
