date,TAIKOUSDT,SCRTUSDT,AIXBTUSDT,AVAUSDT,KSMUSDT,IMXUSDT,RDNTUSDT,YGGUSDT,GRTUSDT,SAGAUSDT,TRBUSDT,COMPUSDT,PEPEUSDT,VTHOUSDT,ATAUSDT,XAIUSDT,WOOUSDT,TNSRUSDT,1000XECUSDT,DOTUSDT,JASMYUSDT,ZILUSDT,AGLDUSDT,KASUSDT,HOTUSDT,ZRXUSDT,AGIUSDT,WLDUSDT,ACXUSDT,ANKRUSDT
2024-07-31 16:00:00,2.3104,,,,20.96,1.4219,0.09957,0.4642,0.18414,1.3857,80.441,52.31,1.13991e-05,,0.0927,0.301,0.18558,0.5144,0.03784,5.432,0.029842,0.01681,0.937,0.20528,0.001653,0.372,,2.1738,,0.02973
2024-07-31 17:00:00,2.3212,,,,21.04,1.4304,0.10018,0.4671,0.18536,1.3877,81.091,52.31,1.14883e-05,,0.0931,0.3028,0.187,0.5142,0.03807,5.485,0.029883,0.0168,0.938,0.20603,0.001658,0.3766,,2.1806,,0.02977
2024-07-31 18:00:00,2.3278,,,,21.24,1.4444,0.10076,0.4715,0.18624,1.4175,81.055,52.62,1.14828e-05,,0.0937,0.3057,0.18781,0.5192,0.0383,5.504,0.029889,0.01685,0.9413,0.20746,0.001668,0.3812,,2.2056,,0.0299
2024-07-31 19:00:00,2.2771,,,,20.79,1.4085,0.09914,0.4602,0.1816,1.3888,79.331,52.05,1.11436e-05,,0.092,0.2985,0.18339,0.5041,0.0373,5.434,0.028912,0.01657,0.9142,0.20336,0.00162,0.371,,2.16,,0.02918
2024-07-31 20:00:00,2.2512,,,,20.5,1.3859,0.09676,0.4514,0.1787,1.3527,78.752,52.04,1.0966e-05,,0.0907,0.2949,0.17912,0.4941,0.03696,5.348,0.028617,0.01633,0.8988,0.20294,0.001599,0.3688,,2.1134,,0.02877
2024-07-31 21:00:00,2.274,,,,20.68,1.3986,0.09713,0.4543,0.18037,1.3737,80.017,52.76,1.10889e-05,,0.0911,0.2985,0.18009,0.4988,0.03746,5.401,0.029009,0.01641,0.9063,0.20403,0.00161,0.3689,,2.1238,,0.02902
2024-07-31 22:00:00,2.2665,,,,20.63,1.3939,0.09674,0.4522,0.1806,1.3692,79.91,52.99,1.11868e-05,,0.0908,0.2962,0.17908,0.4885,0.03717,5.398,0.028956,0.01638,0.9023,0.2057,0.001599,0.3681,,2.1122,,0.02885
2024-07-31 23:00:00,2.2582,,,,20.47,1.3918,0.09625,0.4485,0.17937,1.3537,79.997,52.65,1.10376e-05,,0.0899,0.2939,0.17755,0.4825,0.03715,5.381,0.028971,0.01632,0.8971,0.20539,0.001593,0.3651,,2.1024,,0.02872
2024-08-01 00:00:00,2.2335,,,,20.64,1.39,0.0972,0.4526,0.18036,1.3762,80.81,53.16,1.11167e-05,,0.0901,0.2988,0.17921,0.4778,0.03755,5.411,0.0291,0.01645,0.9035,0.20719,0.001612,0.3653,,2.1347,,0.02883
2024-08-01 01:00:00,2.2037,,,,20.62,1.3923,0.09674,0.4525,0.17977,1.3774,80.345,52.28,1.10677e-05,,0.0902,0.298,0.1782,0.4823,0.03789,5.394,0.02908,0.01631,0.9013,0.2048,0.001608,0.3641,,2.1247,,0.02874
2024-08-01 02:00:00,2.195,,,,20.44,1.3798,0.09676,0.4486,0.17874,1.3822,77.96,52.51,1.1028e-05,,0.0894,0.2976,0.17739,0.485,0.03866,5.372,0.028969,0.01627,0.8933,0.20261,0.001608,0.3607,,2.1173,,0.02857
