time,1MBABYDOGEUSDT,ACEUSDT,ACHUSDT,ACXUSDT,AEVOUSDT,AGIUSDT,AGLDUSDT,AIXBTUSDT,ANKRUSDT,APEUSDT,ARKMUSDT,ATAUSDT,AVAUSDT,AXSUSDT,BEAMUSDT,C98USDT,CELOUSDT,COMPUSDT,COWUSDT,CVCUSDT,DOTUSDT,ENJUSDT,ENSUSDT,FILUSDT,GALAUSDT,GHSTUSDT,GIGAUSDT,GOATUSDT,GRTUSDT,HOTUSDT,ICPUSDT,IMXUSDT,IOTAUSDT,JASMYUSDT,KASUSDT,KDAUSDT,LSKUSDT,MANTAUSDT,MASKUSDT,MBOXUSDT,MEUSDT,MEWUSDT,MINAUSDT,MTLUSDT,NEARUSDT,ONDOUSDT,ORDIUSDT,OXTUSDT,PEPEUSDT,PNUTUSDT,POLYXUSDT,POWRUSDT,PUNDIXUSDT,RDNTUSDT,SAGAUSDT,SANDUSDT,SCRTUSDT,SEIUSDT,SHIBUSDT,SLPUSDT,SNTUSDT,STORJUSDT,STXUSDT,SUIUSDT,SXPUSDT,SYSUSDT,TAIKOUSDT,TAOUSDT,THETAUSDT,TIAUSDT,TNSRUSDT,TRBUSDT,TRUMPUSDT,USUALUSDT,VANRYUSDT,VTHOUSDT,WAXPUSDT,WIFUSDT,WLDUSDT,WOOUSDT,XAIUSDT,YGGUSDT,ZENUSDT,ZILUSDT,ZRXUSDT
2025-08-29 03:00:00,0.0012363,0.5563,0.020559,0.1624,0.09522,0.04547,0.7601,0.11293,0.01574,0.5943,0.5131,0.04798,0.5619,2.379,0.007606,0.05067,0.3295,44.24,0.3572,0.09265,3.952,0.06937,23.999,2.368,0.01723,0.465,0.01236,0.08863,0.09209,0.000973,5.078,0.5556,0.1996,0.015083,0.08853,0.3701,0.3905,0.2147,1.268,0.06115,0.7094,0.003006,0.1861,0.7446,2.519,0.9369,9.078,0.05618,1.01834e-05,0.22261,0.1357,0.166,0.3039,0.02168,0.2613,0.28261,0.1809,0.30307,1.2628e-05,0.001796,0.0267,0.263,0.6505,3.46,0.1892,0.04303,0.4258,333.84,0.8236,1.7264,0.1229,34.843,8.546,0.06972,0.0293,0.001892,0.02079,0.8513,0.9579,0.07153,0.05049,0.1665,7.646,0.01171,0.26
2025-08-29 04:00:00,0.00123,0.5517,0.020508,0.1615,0.09462,0.04519,0.7283,0.11201,0.01565,0.5902,0.5101,0.04759,0.5602,2.367,0.007693,0.05021,0.3272,43.9,0.3549,0.09195,3.927,0.06905,23.917,2.359,0.01707,0.4628,0.01225,0.08807,0.09192,0.000969,5.049,0.5543,0.1984,0.015058,0.08859,0.3705,0.3895,0.2136,1.261,0.06071,0.7112,0.002986,0.1856,0.7385,2.504,0.9337,8.989,0.05582,1.01463e-05,0.22077,0.136,0.1653,0.3013,0.0215,0.2593,0.28115,0.1796,0.30196,1.2546e-05,0.001784,0.02659,0.2619,0.6485,3.4446,0.1888,0.0428,0.4277,332.6,0.8162,1.7208,0.1233,34.835,8.526,0.06875,0.02912,0.001889,0.0206,0.845,0.954,0.07107,0.05015,0.1647,7.616,0.01168,0.2591
2025-08-29 05:00:00,0.0012283,0.5524,0.020507,0.1618,0.09438,0.0448,0.7371,0.11243,0.01569,0.592,0.5094,0.04748,0.5601,2.366,0.007645,0.05042,0.3265,44.08,0.3546,0.09193,3.923,0.06898,23.956,2.364,0.01703,0.4616,0.01218,0.08773,0.09166,0.000971,5.052,0.5512,0.198,0.015024,0.08818,0.3704,0.3884,0.2136,1.269,0.06063,0.7091,0.002974,0.1857,0.7386,2.5,0.9349,9.034,0.05586,1.01504e-05,0.22116,0.1364,0.1655,0.3011,0.02149,0.2602,0.2811,0.18,0.30234,1.2532e-05,0.001781,0.02653,0.2617,0.6484,3.436,0.1898,0.04267,0.4256,331.08,0.8171,1.722,0.1232,34.818,8.519,0.06923,0.02913,0.00189,0.02063,0.8468,0.9514,0.07105,0.05006,0.1646,7.595,0.01167,0.2581
2025-08-29 06:00:00,0.0012215,0.5464,0.020253,0.1603,0.09288,0.04494,0.716,0.11068,0.01557,0.5823,0.5041,0.04708,0.5546,2.341,0.007609,0.0496,0.3239,43.75,0.3523,0.0912,3.906,0.06844,23.768,2.349,0.01685,0.4565,0.01195,0.08714,0.09074,0.000958,5.023,0.5454,0.1961,0.014765,0.08703,0.3668,0.3844,0.2105,1.254,0.06014,0.7018,0.002941,0.185,0.7329,2.49,0.9299,8.928,0.05532,1.00549e-05,0.21832,0.1353,0.1635,0.2985,0.02132,0.2565,0.27988,0.1786,0.2993,1.2438e-05,0.001759,0.02648,0.2593,0.645,3.4226,0.1884,0.04232,0.4218,328.51,0.8116,1.7019,0.1209,34.486,8.493,0.0683,0.02885,0.001872,0.0204,0.8387,0.9457,0.07038,0.04953,0.1637,7.581,0.01158,0.2569
2025-08-29 07:00:00,0.0011944,0.5375,0.019924,0.1577,0.09086,0.0444,0.695,0.10663,0.01534,0.5709,0.4903,0.04556,0.542,2.287,0.007317,0.04846,0.3154,42.99,0.3434,0.08993,3.812,0.06711,23.284,2.305,0.01638,0.446,0.01168,0.08443,0.08925,0.000941,4.951,0.5274,0.1938,0.014543,0.08584,0.3577,0.3765,0.2049,1.23,0.0586,0.6845,0.002873,0.1823,0.7203,2.437,0.9134,8.661,0.05418,9.8437e-06,0.21144,0.1327,0.1614,0.2941,0.02081,0.2478,0.2745,0.1746,0.29163,1.2244e-05,0.001707,0.02616,0.256,0.6334,3.3566,0.1794,0.04142,0.415,322.35,0.7923,1.6631,0.1174,33.628,8.365,0.06645,0.0281,0.00183,0.02018,0.8129,0.9218,0.06856,0.04814,0.1586,7.478,0.01139,0.2506
2025-08-29 08:00:00,0.0011837,0.5215,0.019686,0.155,0.08959,0.04426,0.6798,0.10487,0.01513,0.5649,0.4851,0.04465,0.538,2.261,0.007207,0.04821,0.3117,42.59,0.3392,0.08915,3.775,0.06616,22.957,2.262,0.01615,0.4417,0.01142,0.08311,0.08791,0.000932,4.893,0.521,0.191,0.014357,0.08492,0.3534,0.3728,0.202,1.217,0.05785,0.6756,0.00284,0.1788,0.7108,2.402,0.9025,8.556,0.05362,9.7269e-06,0.20802,0.1299,0.1592,0.2894,0.02053,0.2451,0.27223,0.1724,0.28834,1.2127e-05,0.00169,0.02589,0.253,0.6244,3.3274,0.1768,0.0409,0.4092,318.61,0.7818,1.6407,0.1159,33.116,8.287,0.06548,0.02768,0.001817,0.01998,0.8007,0.912,0.06764,0.04754,0.1556,7.357,0.01124,0.2466
2025-08-29 09:00:00,0.0011922,0.5195,0.019766,0.1561,0.08957,0.04434,0.6851,0.10574,0.01522,0.566,0.4889,0.04477,0.5398,2.285,0.007261,0.04879,0.3129,42.84,0.3404,0.08942,3.802,0.06659,23.041,2.289,0.01627,0.4401,0.0115,0.08373,0.0883,0.000936,4.911,0.5252,0.1917,0.014503,0.08594,0.3558,0.3759,0.203,1.228,0.05804,0.6814,0.002866,0.1795,0.7156,2.426,0.9095,8.619,0.05341,9.7974e-06,0.20943,0.131,0.1599,0.2919,0.02064,0.2451,0.27414,0.1741,0.28953,1.2198e-05,0.001703,0.02601,0.2541,0.6286,3.2908,0.1767,0.04078,0.4121,319.95,0.7869,1.6503,0.1164,33.268,8.345,0.06575,0.02786,0.001841,0.02001,0.8076,0.9191,0.06805,0.04782,0.1564,7.391,0.01129,0.2485
2025-08-29 10:00:00,0.0011957,0.5243,0.019822,0.1555,0.09016,0.0444,0.688,0.10585,0.01527,0.5692,0.4906,0.04497,0.543,2.29,0.007321,0.04897,0.3143,43.06,0.3417,0.08962,3.805,0.06687,23.189,2.293,0.01632,0.4449,0.01162,0.08382,0.08853,0.000942,4.915,0.5274,0.1931,0.014594,0.08596,0.3576,0.3766,0.2041,1.23,0.05822,0.683,0.002872,0.1799,0.717,2.436,0.9136,8.638,0.05368,9.7984e-06,0.20941,0.1316,0.1599,0.2923,0.02071,0.2488,0.2765,0.1741,0.29175,1.2216e-05,0.001708,0.02612,0.2546,0.631,3.3042,0.1772,0.04092,0.4137,320.45,0.7892,1.65,0.1171,33.397,8.351,0.06612,0.02793,0.001846,0.02004,0.8058,0.9229,0.06842,0.04796,0.1571,7.41,0.01132,0.2492
2025-08-29 11:00:00,0.0011896,0.5222,0.019851,0.1555,0.09011,0.0445,0.6832,0.10528,0.01524,0.5672,0.4895,0.04509,0.5414,2.287,0.007309,0.04862,0.3139,43.05,0.3402,0.08963,3.826,0.06663,23.161,2.286,0.01617,0.444,0.01157,0.08355,0.08823,0.000944,4.901,0.5252,0.1924,0.014587,0.08548,0.3556,0.3764,0.2034,1.228,0.05801,0.682,0.002872,0.1796,0.7145,2.439,0.9122,8.59,0.05356,9.8187e-06,0.20822,0.1312,0.1598,0.2921,0.02076,0.2491,0.27575,0.1738,0.29244,1.2189e-05,0.001706,0.0262,0.2544,0.6282,3.3091,0.177,0.04081,0.4126,320.66,0.7862,1.6454,0.1169,33.293,8.343,0.06614,0.02787,0.001842,0.01999,0.8058,0.9164,0.06833,0.04767,0.1563,7.383,0.01129,0.2489
2025-08-29 12:00:00,0.001204,0.5308,0.020105,0.1575,0.09152,0.04489,0.6912,0.10802,0.0154,0.5744,0.4964,0.04597,0.5448,2.311,0.007421,0.04951,0.3167,43.54,0.3453,0.09039,3.855,0.06739,23.456,2.312,0.01638,0.4482,0.01185,0.08487,0.08931,0.000952,4.959,0.5318,0.1941,0.014711,0.0866,0.362,0.379,0.2064,1.241,0.05881,0.6881,0.002909,0.182,0.7213,2.47,0.9231,8.719,0.05416,9.9454e-06,0.21186,0.1323,0.1615,0.2938,0.02098,0.2539,0.27816,0.1757,0.29671,1.2291e-05,0.001726,0.0263,0.2563,0.6359,3.3666,0.1794,0.04138,0.4152,323.9,0.7961,1.6663,0.1186,33.672,8.394,0.06748,0.02829,0.001853,0.0202,0.8162,0.9292,0.0693,0.04859,0.1583,7.46,0.0114,0.2509
